"","id","product_uid","product_title","search_term","relevance","nameCluster","termCluster"
"30",117,100022,"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR","PLATFORM FOR WASHERS",2.67,2,1
"31",120,100022,"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR","samsung front load washer 3.7",2,2,1
"32",122,100022,"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR","upholstery washing machines with steam",2.33,2,2
"33",123,100023,"Quikrete 80 lb. Crack-Resistant Concrete","CONCRETE & MASONRY CLEANER & ETCHER",3,3,1
"34",125,100023,"Quikrete 80 lb. Crack-Resistant Concrete","concrete for ponds",2,3,1
"35",127,100023,"Quikrete 80 lb. Crack-Resistant Concrete","flexlock for cracks",2,3,1
"36",136,100026,"Nantucket Pavers Patio-on-a-Pallet 10 ft. x 10 ft. Concrete Tan Variegated Basketweave Yorkstone Paver","Belgium block pavers",2,2,1
"37",138,100026,"Nantucket Pavers Patio-on-a-Pallet 10 ft. x 10 ft. Concrete Tan Variegated Basketweave Yorkstone Paver","ourdoor patio tile",2.33,2,1
"38",143,100027,"UltraTouch 48 in. x 24 ft. Radiant Barrier","insulation roll",2.33,2,1
"39",147,100028,"Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing","6ft h bamboo fencing",2,2,1
"40",149,100028,"Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing","balcony privacy screen",2.67,2,1
"41",150,100028,"Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing","bamboo",1.67,2,1
"42",157,100028,"Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing","privacy lattice panels",2.33,2,1
"43",158,100028,"Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing","privacy panels",1.67,2,1
"44",162,100029,"DecoArt Americana Decor 16-oz. Whisper Chalky Finish","chalk paint",3,2,1
"45",164,100030,"9.1 in. x 5.8 in. White Designer Shelf Bracket","8 4616809045 9",1.67,2,1
"46",165,100030,"9.1 in. x 5.8 in. White Designer Shelf Bracket","shelf bracket",3,2,1
"47",166,100030,"9.1 in. x 5.8 in. White Designer Shelf Bracket","white 4shelves",1.67,2,1
"48",172,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","6 teir shelving",3,2,1
"49",177,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","hdx wire shelving",3,2,1
"50",178,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","kitchen  cabinet finishes",1,2,1
"51",179,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","kitchen wire shelf tiered",3,2,1
"52",181,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","pantry rack",2.67,2,1
"53",182,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","plastic storage racks",2.67,2,1
"54",186,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","Shelves Metal",3,2,1
"55",191,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","steel shelving",2.67,2,1
"56",193,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","storage shelve",3,2,1
"57",195,100034,"Marshalltown Masonry Brush","mortar tools",1,3,1
"58",201,100036,"Rubbermaid 12 in. D Single Track Bracket","12 boltless bracket",2.33,1,1
"59",202,100036,"Rubbermaid 12 in. D Single Track Bracket","12 in.  16 in single track brackets",2.33,1,1
"60",203,100036,"Rubbermaid 12 in. D Single Track Bracket","12 wire shelf bracket",3,1,1
"61",205,100036,"Rubbermaid 12 in. D Single Track Bracket","shelf track",2.33,1,1
"62",210,100037,"Husky 9-Pocket Maintenance Pouch","husky tool bag",2.5,1,1
"63",214,100038,"RIDGID X4 18-Volt 1/2 in. Impact Wrench (Tool Only)","impact driver drill battery powered",2.33,2,1
"64",215,100038,"RIDGID X4 18-Volt 1/2 in. Impact Wrench (Tool Only)","impact wrench",3,2,1
"65",223,100039,"Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat","pellet stove",2.33,2,1
"66",226,100039,"Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat","register for fuel",2.33,2,1
"67",227,100039,"Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat","stove and mi",2.33,2,1
"68",233,100039,"Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat","ventless gas stove",3,2,1
"69",241,100042,"American Standard Cadet 3 FloWise 2-piece 1.28 GPF Round Front Toilet in Bone","American Standard Bone round toliet",3,2,1
"70",245,100042,"American Standard Cadet 3 FloWise 2-piece 1.28 GPF Round Front Toilet in Bone","cadet 3 insulated in bone",2.33,2,1
"71",255,100045,"Sumner Street Home Hardware Grayson 2-1/2 in. Oil Rubbed Bronze Cup Pull","grayson",2.33,2,1
"72",257,100046,"HDX 6 ft. Heavy Duty Steel Green Painted T-Post","6 stell",2,1,1
"73",259,100046,"HDX 6 ft. Heavy Duty Steel Green Painted T-Post","fece posts metal",2,1,1
"74",261,100046,"HDX 6 ft. Heavy Duty Steel Green Painted T-Post","green painted pop rivets",2.33,1,1
"75",266,100046,"HDX 6 ft. Heavy Duty Steel Green Painted T-Post","post",2.67,1,1
"76",270,100046,"HDX 6 ft. Heavy Duty Steel Green Painted T-Post","wire fencing 6 ft high",1.67,1,1
"77",272,100047,"Crown Bolt 24 in. x 1/2 in. x 12 in. Plain Metal Expanded Sheet","bolt 1/2 in by 12",3,1,1
"78",275,100047,"Crown Bolt 24 in. x 1/2 in. x 12 in. Plain Metal Expanded Sheet","metal sheet",2.33,1,1
"79",276,100047,"Crown Bolt 24 in. x 1/2 in. x 12 in. Plain Metal Expanded Sheet","sheet metal",3,1,1
"80",284,100049,"Henry 587 4.75 Gal. White Roof Coating","elastomeric roof coating",2,2,1
"81",290,100050,"Hampton Bay Beverly Patio Dining Arm Chairs with Custom Cushion (2-Pack)","outdoor dining",2.67,3,1
"82",293,100051,"Hampton Bay Spring Haven Brown All-Weather Wicker Patio Lounge Chair with Sky Blue Cushions","cushions outdoorlounge",3,3,1
"83",294,100051,"Hampton Bay Spring Haven Brown All-Weather Wicker Patio Lounge Chair with Sky Blue Cushions","hampton bay spring",3,3,1
"84",297,100051,"Hampton Bay Spring Haven Brown All-Weather Wicker Patio Lounge Chair with Sky Blue Cushions","outdoorfurniture",2.33,3,1
"85",305,100053,"60 in. x 150 ft. 10/10 Remesh","wiremesh",3,2,1
"86",314,100054,"Stanley Doors 36 in. x 80 in. Chatham 3/4 Lite 1-Panel Prefinished Steel Prehung Front Door","front doors",3,2,1
"87",318,100054,"Stanley Doors 36 in. x 80 in. Chatham 3/4 Lite 1-Panel Prefinished Steel Prehung Front Door","prehung steel door",3,2,1
"88",319,100054,"Stanley Doors 36 in. x 80 in. Chatham 3/4 Lite 1-Panel Prefinished Steel Prehung Front Door","stanley doors",2.67,2,1
"89",323,100055,"MOEN Essie Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless with Soap Dispenser","kingsley moen kitchen faucet",2.33,2,1
"90",327,100055,"MOEN Essie Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless with Soap Dispenser","kitchen sink faucet",3,2,1
"91",331,100055,"MOEN Essie Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless with Soap Dispenser","pricepfister kitchen faucet g135",2,2,1
"92",334,100055,"MOEN Essie Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless with Soap Dispenser","soap dispenser",2.67,2,1
"93",335,100055,"MOEN Essie Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless with Soap Dispenser","soap dispenser kitchen",2,2,1
"94",340,100056,"Bare Ground 4 Gal. Liquid De-Icer (Case-4)","roof melter",1.33,4,1
"95",341,100057,"Owens Corning R-19 Kraft Faced Insulation Batts 15 in. x 93 in.","6 kraft faced insulation",2.33,2,1
"96",343,100057,"Owens Corning R-19 Kraft Faced Insulation Batts 15 in. x 93 in.","fiberglass insulation",2.33,2,1
"97",346,100057,"Owens Corning R-19 Kraft Faced Insulation Batts 15 in. x 93 in.","owens corning 7-3",2,2,1
"98",347,100057,"Owens Corning R-19 Kraft Faced Insulation Batts 15 in. x 93 in.","R 15",1.33,2,1
"99",350,100057,"Owens Corning R-19 Kraft Faced Insulation Batts 15 in. x 93 in.","r19 insulation",3,2,1
"100",351,100058,"Gama Sonic 40-LED Rechargeable Battery-Powered Emergency Lantern","battery lanterns",3,2,1
"101",354,100058,"Gama Sonic 40-LED Rechargeable Battery-Powered Emergency Lantern","ceiling light battery powered with remote",2.33,2,2
"102",355,100058,"Gama Sonic 40-LED Rechargeable Battery-Powered Emergency Lantern","emergency light",3,2,1
"103",359,100059,"12 in. Dia. Dark Blue Ceramic Rivage Pot","planters pots",2.67,1,1
"104",361,100060,"RDI Porch and Newel 5 in. x 5 in. x 108 in. Vinyl Turned Fence Post with 5000 lb. Capacity","5x5 post",2.33,2,1
"105",363,100060,"RDI Porch and Newel 5 in. x 5 in. x 108 in. Vinyl Turned Fence Post with 5000 lb. Capacity","column post",3,2,1
"106",365,100060,"RDI Porch and Newel 5 in. x 5 in. x 108 in. Vinyl Turned Fence Post with 5000 lb. Capacity","post",2.33,2,1
"107",373,100063,"BAZZ 10 ft. Multi-Color Self-Adhesive Cuttable Rope Lighting with Remote Control","bazz lighting",2,2,1
"108",374,100063,"BAZZ 10 ft. Multi-Color Self-Adhesive Cuttable Rope Lighting with Remote Control","led rope",2.67,2,1
"109",375,100063,"BAZZ 10 ft. Multi-Color Self-Adhesive Cuttable Rope Lighting with Remote Control","led strip lights",2.67,2,1
"110",385,100064,"TrafficMASTER Allure 6 in. x 36 in. Cherry Resilient Vinyl Plank Flooring (24 sq. ft. / case)","TILES 12*12",2.67,2,1
"111",389,100065,"Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White","10  rough toilet bowl",2.33,3,1
"112",397,100065,"Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White","delta canister 17",1.33,3,1
"113",400,100065,"Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White","glaciar bay toiled",2,3,1
"114",401,100065,"Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White","glacie bay dual flush",2.33,3,1
"115",402,100065,"Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White","glacier bay high efficiency toilet fill valve",2,3,2
"116",403,100065,"Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White","glacier bay tiolet tank lid",2.67,3,1
"117",407,100065,"Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White","handicap toilet",2.67,3,1
"118",408,100065,"Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White","handycap toilets",2.33,3,1
"119",411,100065,"Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White","high boy tolet",2.33,3,1
"120",413,100065,"Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White","kohler rosario toilet parts",1.33,3,1
"121",418,100065,"Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White","toilet bowl",2.33,3,1
"122",421,100065,"Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White","toilet flush kit",2.67,3,1
"123",422,100065,"Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White","toilet glacier bay",3,3,1
"124",440,100068,"Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater","60 heater gallon gas water",2.33,2,1
"125",444,100068,"Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater","gas wayer heaters",2,2,1
"126",445,100068,"Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater","heater gas",1.67,2,1
"127",446,100068,"Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater","hot water heater cost",2.67,2,1
"128",447,100068,"Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater","hot water heater gas",3,2,1
"129",452,100068,"Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater","rheem gas water heater prog40",2.67,2,1
"130",454,100068,"Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater","rheem water heater gas",3,2,1
"131",455,100068,"Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater","rheem water heater plug",2.33,2,1
"132",456,100068,"Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater","rheum water heater",3,2,1
"133",458,100068,"Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater","water heater certified",3,2,1
"134",459,100068,"Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater","water heater pans",1.67,2,1
"135",461,100069,"Shark Rotator Slim-Light Lift-Away Vacuum Cleaner","shark vacuum",3,2,1
"136",468,100070,"GE 18 in. Direct Wire LED Under Cabinet Light Bar with Hi/Low/Off","under cabinet led",3,3,1
"137",469,100070,"GE 18 in. Direct Wire LED Under Cabinet Light Bar with Hi/Low/Off","under cabinet lighting",3,3,1
"138",470,100070,"GE 18 in. Direct Wire LED Under Cabinet Light Bar with Hi/Low/Off","under counter fluorescent bar light",2.33,3,1
"139",473,100070,"GE 18 in. Direct Wire LED Under Cabinet Light Bar with Hi/Low/Off","undercounter lighting",3,3,1
"140",475,100071,"Steves &amp; Sons Retrofit Prehung Primed White Steel Patio Door","doors exterior",2.33,2,1
"141",476,100071,"Steves &amp; Sons Retrofit Prehung Primed White Steel Patio Door","Double Doors",3,2,1
"142",478,100071,"Steves &amp; Sons Retrofit Prehung Primed White Steel Patio Door","prehung steel door",3,2,1
"143",479,100071,"Steves &amp; Sons Retrofit Prehung Primed White Steel Patio Door","steel patio railings",1.33,2,1
"144",480,100072,"Duck 1.41 in. x 60 yds. Blue Clean Release Masking Tape, (16-Pack)","3 blue masking tape",1.67,2,1
"145",481,100072,"Duck 1.41 in. x 60 yds. Blue Clean Release Masking Tape, (16-Pack)","masking tape",3,2,1
"146",485,100074,"Kaleen Soho Thames Beige 4 ft. x 6 ft. Area Rug","4x6",3,2,1
"147",491,100076,"4 in. x 4 in. x 5-1/3 ft. Pressure-Treated Pine 2-Hole Fence Corner Post","treated fence posts",3,2,1
"148",492,100077,"Mueller Global 3/4 in. Black Malleable Iron Threaded Tee","1/2 x 5 black pipe nipple",1.67,2,1
"149",497,100077,"Mueller Global 3/4 in. Black Malleable Iron Threaded Tee","galvanized gas tee",3,2,1
"150",500,100078,"Safavieh Courtyard Natural/Brown 8 ft. 11 in. x 12 ft. Area Rug","area rugs 9x12",2.67,2,1
"151",501,100079,"Frigidaire 18 cu. ft. Top Freezer Refrigerator in Stainless Steel","18  dishwasher",1.67,2,1
"152",508,100081,"STERLING Accord 30 in. x 60 in. x 72 in. Bath and Shower Kit in White","30' x 60 'molded one piece acrylic shower stall",2.33,2,2
"153",511,100081,"STERLING Accord 30 in. x 60 in. x 72 in. Bath and Shower Kit in White","one piece showers",2.33,2,1
"154",516,100082,"Corner Baker&#39;s Rack with Slate Top","bakers rack",3,4,1
"155",517,100083,"Shape Products Thick &amp; Strong Flat Area Well Cover","basemetnt window",1.33,2,1
"156",524,100086,"Rust-Oleum EpoxyShield 2 gal. Tan 2-Part High-Gloss Epoxy Garage Floor Coating Kit","editing garage floor",2,2,1
"157",533,100086,"Rust-Oleum EpoxyShield 2 gal. Tan 2-Part High-Gloss Epoxy Garage Floor Coating Kit","rustollum epoxy",3,2,1
"158",536,100087,"YuTrax Arch XL Folding Aluminum ATV Ramp","car ramps ends",2,2,1
"159",542,100088,"Werner 7 ft. - 9 ft., 18 in. x 24 in. Compact Aluminum Attic Ladder with 250 lb. Maximum Load Capacity","plexiglas 18' x 24'",2,2,1
"160",544,100089,"Melnor Adjustable Rear Trigger Nozzle","melnor",3,3,1
"161",549,100090,"LG Electronics 5,000 BTU 115-Volt Window Air Conditioner","A/c window unit",3,2,1
"162",551,100090,"LG Electronics 5,000 BTU 115-Volt Window Air Conditioner","air /heaterconditioner window",3,2,1
"163",557,100090,"LG Electronics 5,000 BTU 115-Volt Window Air Conditioner","room a/c units",2.67,2,1
"164",559,100090,"LG Electronics 5,000 BTU 115-Volt Window Air Conditioner","spliter ac unit",2.33,2,1
"165",562,100090,"LG Electronics 5,000 BTU 115-Volt Window Air Conditioner","window air condit",2.33,2,1
"166",563,100090,"LG Electronics 5,000 BTU 115-Volt Window Air Conditioner","Window Unit Air Conditioner/Heater",2.67,2,1
"167",568,100092,"Rust-Oleum Restore 1-gal. 4X Deck Coat","berh deck over",2.33,2,1
"168",571,100092,"Rust-Oleum Restore 1-gal. 4X Deck Coat","deck over",1.67,2,1
"169",572,100092,"Rust-Oleum Restore 1-gal. 4X Deck Coat","deck over paint",2.67,2,1
"170",573,100092,"Rust-Oleum Restore 1-gal. 4X Deck Coat","deckpaint",2.67,2,1
"171",576,100092,"Rust-Oleum Restore 1-gal. 4X Deck Coat","restore 4x",2.67,2,1
"172",581,100093,"Milwaukee M18 FUEL 18-Volt Brushless Lithium-Ion Hole Hawg 1/2 in. Right Angle Drill (Bare Tool)","milwaukee right angle",3,1,1
"173",582,100093,"Milwaukee M18 FUEL 18-Volt Brushless Lithium-Ion Hole Hawg 1/2 in. Right Angle Drill (Bare Tool)","milwaukee stone hole drill",3,1,1
"174",583,100093,"Milwaukee M18 FUEL 18-Volt Brushless Lithium-Ion Hole Hawg 1/2 in. Right Angle Drill (Bare Tool)","pneumatic right angle drill",2.67,1,1
"175",584,100093,"Milwaukee M18 FUEL 18-Volt Brushless Lithium-Ion Hole Hawg 1/2 in. Right Angle Drill (Bare Tool)","right angle drill",3,1,1
"176",585,100094,"Ariens Deluxe 28 in. Two-Stage Electric Start Gas Snow Blower with Auto-Turn Steering","28 snow thower",3,2,1
"177",591,100094,"Ariens Deluxe 28 in. Two-Stage Electric Start Gas Snow Blower with Auto-Turn Steering","gas snowblower trailer",2.33,2,1
"178",593,100094,"Ariens Deluxe 28 in. Two-Stage Electric Start Gas Snow Blower with Auto-Turn Steering","toro snow blowers gas",1.33,2,1
"179",595,100095,"GE Adora 5.0 cu. ft. Gas Range with Self-Cleaning Convection Oven in Stainless Steel","gas gridlee",2,2,1
"180",600,100095,"GE Adora 5.0 cu. ft. Gas Range with Self-Cleaning Convection Oven in Stainless Steel","ge adora range",3,2,1
"181",605,100096,"Woodgrain Millwork LWM 623 1/2 in. x 3-1/4 in. x 96 in. Primed MDF Base Moulding","base board molding boundle",2,2,1
"182",606,100096,"Woodgrain Millwork LWM 623 1/2 in. x 3-1/4 in. x 96 in. Primed MDF Base Moulding","crown molding mdf",2.67,2,1
"183",611,100096,"Woodgrain Millwork LWM 623 1/2 in. x 3-1/4 in. x 96 in. Primed MDF Base Moulding","wall wood",2.67,2,1
"184",619,100097,"Hampton Bay Woodbury 7-Piece Patio Dining Set with Dragonfruit Cushion","hampton bay set 7-piece led aluminum",2.33,3,1
"185",626,100098,"Gardener&#39;s Blue Ribbon 16 in. Plastic Rolling Plant Caddy","plants moses in a cradle",1.33,4,1
"186",630,100100,"Dimex EasyFlex 24 ft. Aluminum Landscape Edging Project Kit in Black","landscape edging",3,3,1
"187",634,100101,"Intertape Polymer Group PG 21 2.0 in. x 60 yd. Lacquer Resistant Performance Grade Masking Tape (6-Pack)","intertape duct tape 3pk",1.67,2,1
"188",635,100101,"Intertape Polymer Group PG 21 2.0 in. x 60 yd. Lacquer Resistant Performance Grade Masking Tape (6-Pack)","masking tape",3,2,1
"189",636,100102,"Teks #12 1-1/2 in. External Hex Flange Hex-Head Self-Drilling Screws (80-Pack)","1 black self tapping screws",2.67,2,1
"190",637,100102,"Teks #12 1-1/2 in. External Hex Flange Hex-Head Self-Drilling Screws (80-Pack)","1 infloor flange",2,2,1
"191",640,100104,"GE All Purpose Silicone I 10.1-oz. Clear Window and Door Caulk","10 window sping rod",1.67,2,1
"192",642,100104,"GE All Purpose Silicone I 10.1-oz. Clear Window and Door Caulk","clear silicone caulk windows doors",2.33,2,1
"193",643,100104,"GE All Purpose Silicone I 10.1-oz. Clear Window and Door Caulk","silicone",3,2,1
"194",644,100105,"RIDGID X4 18-Volt Lithium-Ion Cordless Drill and Impact Driver Combo Kit (2-Tool)","combo powertool kit",2.67,2,1
"195",646,100105,"RIDGID X4 18-Volt Lithium-Ion Cordless Drill and Impact Driver Combo Kit (2-Tool)","desalt impact 18",2.67,2,1
"196",652,100105,"RIDGID X4 18-Volt Lithium-Ion Cordless Drill and Impact Driver Combo Kit (2-Tool)","rigid lithium ion batteries fuego drill",2.33,2,1
"197",653,100106,"Sun Joe Shredder Joe 12 in. 13 Amp 16:1 Reduction Ratio Electric Leaf Mulcher/Shredder","chipper",1.25,2,1
"198",659,100108,"American Standard Colorado FloWise Elongated Toilet Bowl Only in White","bidet",2.33,2,1
"199",660,100109,"Shark Navigator Lift-Away Deluxe Bagless Vacuum Cleaner with Appliance Wand","shark cleaner",3,2,1
"200",661,100109,"Shark Navigator Lift-Away Deluxe Bagless Vacuum Cleaner with Appliance Wand","shark vacuum",3,2,1
"201",662,100110,"Ryobi Expand-It 10 in. Universal Pole Saw Attachment","expand it universal products",2.33,2,1
"202",663,100110,"Ryobi Expand-It 10 in. Universal Pole Saw Attachment","pole saw",2.67,2,1
"203",666,100110,"Ryobi Expand-It 10 in. Universal Pole Saw Attachment","ryobi pole saw",2.67,2,1
"204",668,100110,"Ryobi Expand-It 10 in. Universal Pole Saw Attachment","ryobi trimmers",2.67,2,1
"205",669,100110,"Ryobi Expand-It 10 in. Universal Pole Saw Attachment","trimmer attachment",2,2,1
"206",670,100111,"Prime-Line Fiberglass Screening Kit with Rolling Tool","fiberglass repair kit",3,1,1
"207",671,100111,"Prime-Line Fiberglass Screening Kit with Rolling Tool","fiberglass repir kit",1.67,1,1
"208",674,100112,"Rug Doctor Universal Upholstery Hand Tool Attachment","rug doctor carpet cleaner",2,3,1
"209",677,100113,"Amerelle Line Voltage Halogen Bronze Pucks (5-Pack)","under cabinet lighting",2.67,1,1
"210",679,100114,"Baled Pine Straw","pine straw",3,3,1
"211",680,100115,"MasterPiece 71-1/4 in. x 79-1/2 in. Composite Right-Hand Woodgrain Interior Blinds Between Glass Sliding Patio Door","andersen sliding right hand doors with blinds",3,2,2
"212",682,100115,"MasterPiece 71-1/4 in. x 79-1/2 in. Composite Right-Hand Woodgrain Interior Blinds Between Glass Sliding Patio Door","doors exterior",2,2,1
"213",686,100116,"LG Electronics 10,000 BTU Portable Air Conditioner and Dehumidifier Function with Remote in White","10000 btu portable ac",3,2,1
"214",687,100116,"LG Electronics 10,000 BTU Portable Air Conditioner and Dehumidifier Function with Remote in White","portable air condtioners",3,2,1
"215",688,100117,"Home Decorators Collection Corner Desk in Espresso","computer desk",2,2,1
"216",690,100118,"Jameson Heavy Duty Pruner and Pole Package","tree pruner",2.67,3,1
"217",691,100119,"Purdy 2 in. A. P. All Paints Brush Set (3-Pack)","2 paint brush pack",2.67,1,1
"218",696,100119,"Purdy 2 in. A. P. All Paints Brush Set (3-Pack)","paint roller inserts",1,1,1
"219",700,100120,"DEWALT 2.4-amp 1/4-Sheet Pad Sander","hand sander",3,2,1
