Attr1,Attr2,Attr3,Attr4,Class
7.02,3.21,8.27,2.16,0
3.23,8.08,1.15,2.91,0
3.62,0.35,4.87,5.13,1
3.40,5.90,6.89,3.69,1
0.69,6.15,9.96,5.52,1
3.68,6.99,8.20,3.96,1
8.68,5.09,6.38,1.05,1
9.44,4.78,7.01,7.42,0
7.32,7.74,5.79,7.86,1
1.46,8.58,1.41,7.63,0
6.34,1.10,7.69,1.49,0
4.41,3.90,4.58,1.77,1
6.29,8.77,2.37,2.69,0
9.07,2.18,8.59,4.54,0
6.21,4.85,8.43,6.06,0
5.01,7.84,6.89,6.08,1
2.55,8.64,0.52,4.80,0
2.50,2.87,1.65,9.59,1
7.39,5.31,9.58,7.60,1
2.93,7.37,5.27,5.65,1
3.15,7.50,7.15,3.83,1
7.70,7.52,7.36,6.85,1
2.13,6.79,9.20,5.45,1
7.49,9.27,0.86,1.92,0
4.43,0.04,3.37,8.58,1
1.74,3.72,0.78,1.41,1
8.83,2.62,7.21,2.69,0
8.75,5.29,9.75,7.11,1
1.52,7.57,6.95,6.97,1
0.22,2.63,5.33,3.85,1
2.82,8.84,0.82,6.02,0
1.22,8.14,3.10,4.14,0
0.19,9.38,0.19,4.96,0
8.83,8.40,0.33,4.38,0
6.24,1.80,8.87,6.79,0
5.40,9.03,1.87,9.28,0
8.06,9.24,0.47,0.25,0
8.22,1.47,9.01,5.19,0
9.70,3.48,6.21,3.14,0
0.42,4.81,2.35,2.93,1
8.36,7.40,4.47,2.43,1
4.44,9.63,1.89,4.97,0
9.72,1.76,7.36,5.09,0
4.53,8.39,1.85,3.96,0
4.67,9.34,0.03,8.46,0
2.81,9.64,0.17,4.80,0
0.63,7.04,7.99,3.15,1
8.97,5.94,7.81,2.96,1
5.19,0.33,7.90,4.32,0
9.64,1.27,9.95,7.14,0
1.19,7.09,3.91,4.89,1
3.04,9.99,0.91,4.96,0
6.72,6.71,9.44,3.47,1
2.47,9.76,0.31,6.41,0
1.80,0.90,1.79,0.38,1
8.04,6.92,7.94,3.55,1
4.59,8.98,1.51,6.76,0
8.28,9.97,1.06,8.51,0
6.49,8.80,1.76,2.47,0
2.10,7.28,8.57,2.94,1
6.52,6.22,7.11,7.72,1
7.77,3.50,7.55,2.09,0
6.80,9.95,1.98,2.12,0
6.99,2.31,9.44,4.21,0
1.68,9.71,1.78,0.88,0
0.77,8.97,0.02,6.62,0
3.13,5.17,7.19,8.12,1
2.96,7.14,9.07,7.28,1
0.25,1.66,2.38,6.79,1
6.51,4.37,7.83,5.09,0
6.61,8.80,1.68,2.17,0
6.20,8.40,2.54,0.55,0
1.61,2.83,5.80,1.29,1
1.43,0.85,0.18,1.19,1
9.60,6.02,5.73,3.15,1
4.00,8.06,1.78,5.04,0
8.20,2.78,9.25,7.10,0
0.96,1.69,4.18,4.19,1
0.08,4.37,0.97,1.32,1
5.30,2.27,7.14,7.57,0
1.16,1.29,2.11,9.13,1
0.00,3.95,2.96,5.74,1
8.41,2.57,8.53,1.21,0
6.64,6.40,5.90,2.27,1
7.03,8.23,1.30,0.78,0
5.09,1.94,9.67,7.48,0
7.09,5.34,8.67,3.47,1
7.25,6.91,5.10,7.56,1
9.95,6.41,6.36,5.65,1
6.52,5.67,4.69,5.44,1
0.33,2.58,0.83,3.25,1
5.90,4.35,6.14,9.77,0
6.02,8.12,0.31,5.64,0
1.29,1.90,0.67,0.46,1
2.32,0.99,2.14,3.12,1
0.21,8.18,3.05,9.46,0
9.29,8.82,0.58,8.07,0
8.10,5.54,8.00,1.11,1
6.89,0.84,7.51,9.09,0
2.59,7.71,9.59,0.75,1
7.05,0.78,7.90,9.54,0
8.95,9.70,0.34,3.16,0
1.99,6.75,4.93,2.57,1
0.07,4.15,0.68,1.28,1
7.51,3.86,8.79,4.41,0
6.48,3.90,8.74,0.20,0
3.38,1.64,4.18,2.31,1
2.43,9.83,0.25,8.77,0
6.62,9.53,1.07,7.46,0
7.16,2.78,8.38,2.75,0
8.22,5.31,7.92,7.60,1
0.41,1.22,2.37,5.22,1
0.33,8.90,2.22,8.51,0
4.31,4.06,2.68,4.99,1
2.73,1.46,0.54,5.46,1
1.60,5.62,8.24,0.59,1
9.29,4.15,7.94,1.06,0
9.14,1.88,9.49,5.53,0
8.06,7.77,6.14,0.07,1
8.24,8.65,2.36,4.16,0
1.59,7.77,3.87,1.12,1
1.86,4.66,0.99,0.58,1
0.18,2.72,2.66,9.20,1
4.93,9.11,0.52,1.02,0
9.25,2.31,8.58,1.52,0
2.85,3.38,4.33,8.89,1
3.59,8.20,1.55,3.54,0
6.35,0.32,7.93,2.15,0
0.22,4.48,1.60,0.80,1
3.25,9.01,0.96,7.49,0
3.42,8.75,0.15,0.84,0
9.41,4.84,5.54,7.34,0
1.79,5.19,8.84,8.95,1
9.18,9.97,0.68,9.18,0
5.90,8.22,2.20,3.94,0
5.23,8.02,1.07,8.49,0
3.92,9.29,2.34,0.07,0
5.32,7.53,8.82,8.73,1
1.41,7.33,9.52,7.37,1
7.53,9.04,0.20,6.88,0
3.60,5.83,6.64,6.33,1
2.60,8.37,2.96,1.73,0
1.05,5.84,6.05,2.61,1
3.36,6.95,8.97,4.79,1
2.47,7.46,6.60,7.55,1
7.08,1.58,8.42,0.27,0
1.72,0.07,5.61,5.62,1
2.96,0.89,6.73,6.90,1
3.47,7.30,6.23,1.47,1
3.34,5.43,8.06,1.55,1
6.66,1.35,9.18,5.69,0
8.07,1.68,9.37,3.58,0
3.17,8.46,0.67,9.92,0
2.67,6.22,8.23,8.52,1
5.23,6.27,9.99,4.99,1
7.59,3.44,6.02,7.26,0
2.25,8.41,2.64,6.88,0
3.98,9.34,2.04,0.30,0
4.86,2.51,4.11,0.90,1
6.45,2.62,7.41,7.12,0
8.82,6.22,5.62,9.84,1
3.32,6.20,9.51,2.67,1
1.97,8.49,0.87,9.18,0
4.56,8.76,0.53,8.38,0
8.99,9.64,1.71,8.36,0
6.09,6.79,6.69,6.35,1
1.77,4.00,4.65,2.26,1
4.42,1.02,4.10,6.80,1
1.45,9.90,0.11,2.38,0
2.74,8.47,0.42,8.38,0
0.05,7.56,6.99,1.04,1
7.55,3.17,7.97,8.00,0
0.29,0.89,4.72,5.81,1
0.03,6.64,7.21,4.09,1
2.95,5.87,9.11,3.68,1
3.79,5.70,4.82,6.24,1
5.57,8.18,1.32,5.56,0
8.03,7.52,4.83,0.87,1
9.77,7.27,6.43,8.55,1
0.45,8.08,1.82,0.96,0
4.87,1.00,5.08,3.30,1
6.02,2.73,8.10,8.16,0
9.13,9.45,1.46,6.68,0
0.07,5.06,7.19,9.73,1
1.66,7.44,7.56,3.70,1
7.25,7.42,7.66,6.15,1
9.25,5.17,8.51,6.94,1
8.64,5.41,8.67,4.57,1
2.73,7.47,4.79,7.90,1
0.29,7.48,5.18,9.42,1
2.88,7.30,6.71,6.29,1
1.40,6.96,9.91,8.75,1
0.53,2.42,2.44,7.59,1
5.31,1.51,7.88,8.51,0
6.91,1.08,9.02,9.86,0
9.08,4.32,9.25,6.94,0
4.43,8.95,0.08,9.07,0
4.29,4.63,1.65,0.27,1
0.75,2.31,3.08,2.69,1
7.35,8.76,2.70,9.14,0
3.94,5.32,8.52,3.29,1
2.01,8.61,2.03,3.35,0
2.31,7.66,9.87,9.67,1
8.36,5.71,6.70,2.37,1
4.75,8.40,1.68,1.96,0
8.31,6.57,5.63,7.24,1
8.24,8.27,0.25,1.65,0
9.33,9.69,0.01,4.84,0
8.67,6.33,9.50,1.78,1
2.83,9.13,2.13,7.22,0
9.19,9.66,1.83,8.64,0
0.33,7.71,4.81,6.61,1
3.95,3.74,3.27,0.15,1
2.63,4.43,1.10,1.37,1
2.79,1.07,2.65,1.74,1
0.25,5.32,9.79,2.69,1
4.75,9.76,1.52,5.37,0
0.06,8.35,1.99,3.90,0
9.44,8.10,0.56,1.88,0
2.52,7.10,4.05,9.62,1
1.62,9.20,1.23,8.49,0
6.93,2.32,8.82,3.32,0
5.37,9.80,2.03,9.33,0
0.69,5.91,6.16,5.69,1
7.02,9.65,2.06,0.83,0
2.70,9.61,0.76,2.66,0
1.14,9.21,2.34,5.44,0
1.62,8.23,1.00,6.46,0
5.98,8.83,0.34,7.52,0
3.55,7.67,8.18,7.09,1
3.04,9.12,1.42,2.78,0
1.82,4.22,4.80,7.82,1
6.37,7.86,6.23,0.98,1
9.43,6.74,9.99,1.22,1
4.04,7.01,8.93,4.88,1
